Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Individual economies",10,"Total goods loaded",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Afghanistan",10,"Total goods loaded",763,"Mirror data - majority reported",,1245,"Mirror data - majority reported",,840,"Mirror data - majority reported",,1035,"Mirror data - majority reported",,1028,"Mirror data - majority reported",,1388,"Mirror data - majority reported",,1482,"Mirror data - majority reported",,755,"Mirror data - majority reported",,1604,"Mirror data - majority reported",,3571,"Mirror data - majority reported",,1864,"Mirror data - majority estimated",
"Albania",10,"Total goods loaded",1861,"Mirror data - majority reported",,1833,"Mirror data - majority reported",,1798,"Mirror data - majority reported",,1749,"Mirror data - majority reported",,1591,"Mirror data - majority reported",,1713,"Mirror data - majority reported",,1848,"Mirror data - majority reported",,1722,"Mirror data - majority reported",,1767,"Mirror data - majority reported",,1778,"Mirror data - majority reported",,1866,"Mirror data - majority estimated",
"Algeria",10,"Total goods loaded",80353,"Mirror data - majority reported",,76099,"Mirror data - majority reported",,77511,"Mirror data - majority reported",,85618,"Mirror data - majority reported",,82100,"Mirror data - majority reported",,82380,"Mirror data - majority reported",,76069,"Mirror data - majority reported",,63367,"Mirror data - majority reported",,79827,"Mirror data - majority reported",,74425,"Mirror data - majority reported",,84074,"Mirror data - majority estimated",
"American Samoa",10,"Total goods loaded",20,"Mirror data - majority reported",,36,"Mirror data - majority reported",,18,"Mirror data - majority reported",,57,"Mirror data - majority reported",,19,"Mirror data - majority reported",,78,"Mirror data - majority reported",,23,"Mirror data - majority reported",,15,"Mirror data - majority reported",,37,"Mirror data - majority reported",,11,"Mirror data - majority estimated",,13,"Mirror data - majority estimated",
"Andorra",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Angola",10,"Total goods loaded",86102,"Mirror data - majority reported",,83072,"Mirror data - majority reported",,82819,"Mirror data - majority reported",,82557,"Mirror data - majority reported",,83036,"Mirror data - majority reported",,77912,"Mirror data - majority reported",,72033,"Mirror data - majority reported",,64070,"Mirror data - majority reported",,59579,"Mirror data - majority reported",,62307,"Mirror data - majority reported",,59683,"Mirror data - majority estimated",
"Anguilla",10,"Total goods loaded",7,"Mirror data - majority reported",,14,"Mirror data - majority reported",,10,"Mirror data - majority reported",,7,"Mirror data - majority reported",,5,"Mirror data - majority reported",,9,"Mirror data - majority reported",,6,"Mirror data - majority reported",,3,"Mirror data - majority reported",,5,"Mirror data - majority reported",,6,"Mirror data - majority reported",,7,"Mirror data - majority estimated",
"Antigua and Barbuda",10,"Total goods loaded",710,"Mirror data - majority reported",,635,"Mirror data - majority reported",,314,"Mirror data - majority reported",,226,"Mirror data - majority reported",,200,"Mirror data - majority reported",,234,"Mirror data - majority reported",,282,"Mirror data - majority reported",,195,"Mirror data - majority reported",,316,"Mirror data - majority reported",,215,"Mirror data - majority reported",,174,"Mirror data - majority estimated",
"Argentina",10,"Total goods loaded",81811,"Mirror data - majority reported",,76122,"Mirror data - majority reported",,83881,"Mirror data - majority reported",,98302,"Mirror data - majority reported",,95869,"Mirror data - majority reported",,84646,"Mirror data - majority reported",,110499,"Mirror data - majority reported",,107053,"Mirror data - majority reported",,106540,"Mirror data - majority reported",,110663,"Mirror data - majority reported",,80439,"Mirror data - majority estimated",
"Armenia",10,"Total goods loaded",258,"Mirror data - majority reported",,293,"Mirror data - majority reported",,330,"Mirror data - majority reported",,465,"Mirror data - majority reported",,487,"Mirror data - majority reported",,477,"Mirror data - majority reported",,628,"Mirror data - majority reported",,704,"Mirror data - majority reported",,642,"Mirror data - majority reported",,640,"Mirror data - majority reported",,422,"Mirror data - majority estimated",
"Aruba",10,"Total goods loaded",662,"Mirror data - majority reported",,760,"Mirror data - majority reported",,646,"Mirror data - majority reported",,392,"Mirror data - majority reported",,373,"Mirror data - majority reported",,116,"Mirror data - majority reported",,178,"Mirror data - majority reported",,415,"Mirror data - majority reported",,424,"Mirror data - majority reported",,132,"Mirror data - majority reported",,278,"Mirror data - majority estimated",
"Australia",10,"Total goods loaded",1075000,"Mirror data - majority reported",,1251999,"Mirror data - majority reported",,1312672,"Mirror data - majority reported",,1370066,"Mirror data - majority reported",,1411881,"Mirror data - majority reported",,1444892,"Mirror data - majority reported",,1429915,"Mirror data - majority reported",,1448799,"Mirror data - majority reported",,1455984,"Mirror data - majority reported",,1464521,"Mirror data - majority reported",,1473036,"Mirror data - majority estimated",
"Austria",10,"Total goods loaded",45235,"Mirror data - majority reported",,46910,"Mirror data - majority reported",,46795,"Mirror data - majority reported",,47022,"Mirror data - majority reported",,47956,"Mirror data - majority reported",,47263,"Mirror data - majority reported",,49120,"Mirror data - majority reported",,46645,"Mirror data - majority reported",,48018,"Mirror data - majority reported",,45984,"Mirror data - majority reported",,43683,"Mirror data - majority reported",
"Azerbaijan",10,"Total goods loaded",33371,"Mirror data - majority reported",,32245,"Mirror data - majority reported",,34904,"Mirror data - majority reported",,33751,"Mirror data - majority reported",,34750,"Mirror data - majority reported",,33864,"Mirror data - majority reported",,29783,"Mirror data - majority reported",,28325,"Mirror data - majority reported",,33720,"Mirror data - majority reported",,39261,"Mirror data - majority reported",,34984,"Mirror data - majority estimated",
"Bahamas",10,"Total goods loaded",4610,"Mirror data - majority reported",,4664,"Mirror data - majority reported",,4601,"Mirror data - majority reported",,3507,"Mirror data - majority reported",,3622,"Mirror data - majority reported",,4291,"Mirror data - majority reported",,4132,"Mirror data - majority reported",,5232,"Mirror data - majority reported",,4705,"Mirror data - majority reported",,5656,"Mirror data - majority reported",,5184,"Mirror data - majority estimated",
"Bahrain",10,"Total goods loaded",10101,"Mirror data - majority reported",,11692,"Mirror data - majority reported",,10533,"Mirror data - majority reported",,10955,"Mirror data - majority reported",,13319,"Mirror data - majority reported",,16739,"Mirror data - majority reported",,20820,"Mirror data - majority reported",,15927,"Mirror data - majority reported",,19027,"Mirror data - majority reported",,17251,"Mirror data - majority reported",,16921,"Mirror data - majority estimated",
"Bangladesh",10,"Total goods loaded",2266,"Mirror data - majority reported",,2338,"Mirror data - majority reported",,2434,"Mirror data - majority reported",,2528,"Mirror data - majority reported",,2560,"Mirror data - majority reported",,2645,"Mirror data - majority reported",,2682,"Mirror data - majority reported",,2688,"Mirror data - majority reported",,3465,"Mirror data - majority reported",,3554,"Mirror data - majority reported",,3166,"Mirror data - majority estimated",
"Barbados",10,"Total goods loaded",489,"Mirror data - majority reported",,597,"Mirror data - majority reported",,338,"Mirror data - majority reported",,494,"Mirror data - majority reported",,521,"Mirror data - majority reported",,472,"Mirror data - majority reported",,394,"Mirror data - majority reported",,302,"Mirror data - majority reported",,362,"Mirror data - majority reported",,248,"Mirror data - majority reported",,273,"Mirror data - majority estimated",
"Belarus",10,"Total goods loaded",20492,"Mirror data - majority reported",,27226,"Mirror data - majority reported",,26335,"Mirror data - majority reported",,26805,"Mirror data - majority reported",,29512,"Mirror data - majority reported",,29219,"Mirror data - majority reported",,29486,"Mirror data - majority reported",,30137,"Mirror data - majority reported",,31544,"Mirror data - majority reported",,18389,"Mirror data - majority reported",,16810,"Mirror data - majority estimated",
"Belgium",10,"Total goods loaded",173323,"Mirror data - majority reported",,172993,"Mirror data - majority reported",,170308,"Mirror data - majority reported",,177217,"Mirror data - majority reported",,192041,"Mirror data - majority reported",,182836,"Mirror data - majority reported",,181100,"Mirror data - majority reported",,172180,"Mirror data - majority reported",,188155,"Mirror data - majority reported",,175091,"Mirror data - majority reported",,188182,"Mirror data - majority reported",
