Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,763.0,1245.0,840.0,1035.0,1028.0,1388.0,1482.0,755.0,1604.0,3571.0,1864.0
Albania,1861.0,1833.0,1798.0,1749.0,1591.0,1713.0,1848.0,1722.0,1767.0,1778.0,1866.0
Algeria,80353.0,76099.0,77511.0,85618.0,82100.0,82380.0,76069.0,63367.0,79827.0,74425.0,84074.0
American Samoa,20.0,36.0,18.0,57.0,19.0,78.0,23.0,15.0,37.0,11.0,13.0
Angola,86102.0,83072.0,82819.0,82557.0,83036.0,77912.0,72033.0,64070.0,59579.0,62307.0,59683.0
Anguilla,7.0,14.0,10.0,7.0,5.0,9.0,6.0,3.0,5.0,6.0,7.0
Antigua and Barbuda,710.0,635.0,314.0,226.0,200.0,234.0,282.0,195.0,316.0,215.0,174.0
Argentina,81811.0,76122.0,83881.0,98302.0,95869.0,84646.0,110499.0,107053.0,106540.0,110663.0,80439.0
Armenia,258.0,293.0,330.0,465.0,487.0,477.0,628.0,704.0,642.0,640.0,422.0
Aruba,662.0,760.0,646.0,392.0,373.0,116.0,178.0,415.0,424.0,132.0,278.0
Australia,1075000.0,1251999.0,1312672.0,1370066.0,1411881.0,1444892.0,1429915.0,1448799.0,1455984.0,1464521.0,1473036.0
Austria,45235.0,46910.0,46795.0,47022.0,47956.0,47263.0,49120.0,46645.0,48018.0,45984.0,43683.0
Azerbaijan,33371.0,32245.0,34904.0,33751.0,34750.0,33864.0,29783.0,28325.0,33720.0,39261.0,34984.0
Bahamas,4610.0,4664.0,4601.0,3507.0,3622.0,4291.0,4132.0,5232.0,4705.0,5656.0,5184.0
Bahrain,10101.0,11692.0,10533.0,10955.0,13319.0,16739.0,20820.0,15927.0,19027.0,17251.0,16921.0
Bangladesh,2266.0,2338.0,2434.0,2528.0,2560.0,2645.0,2682.0,2688.0,3465.0,3554.0,3166.0
Barbados,489.0,597.0,338.0,494.0,521.0,472.0,394.0,302.0,362.0,248.0,273.0
Belarus,20492.0,27226.0,26335.0,26805.0,29512.0,29219.0,29486.0,30137.0,31544.0,18389.0,16810.0
Belgium,173323.0,172993.0,170308.0,177217.0,192041.0,182836.0,181100.0,172180.0,188155.0,175091.0,188182.0
Belize,502.0,437.0,531.0,428.0,406.0,407.0,574.0,792.0,376.0,376.0,310.0
Benin,623.0,1145.0,672.0,455.0,504.0,629.0,890.0,871.0,956.0,965.0,847.0
Bermuda,508.0,33.0,232.0,285.0,149.0,222.0,106.0,115.0,61.0,32.0,205.0
Bhutan,82.0,136.0,258.0,139.0,200.0,376.0,440.0,307.0,359.0,407.0,471.0
Bolivia (Plurinational State of),8076.0,8068.0,7903.0,8704.0,8021.0,7781.0,7436.0,7123.0,7076.0,6754.0,5774.0
"Bonaire, Sint Eustatius and Saba",52.0,308.0,73.0,61.0,140.0,94.0,280.0,108.0,236.0,72.0,149.0
Bosnia and Herzegovina,3689.0,3979.0,3865.0,3934.0,4247.0,4199.0,4010.0,3638.0,4233.0,5052.0,4774.0
Botswana,560.0,571.0,547.0,510.0,511.0,524.0,519.0,530.0,617.0,777.0,678.0
Bouvet Island,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brazil,491595.0,519399.0,599099.0,630304.0,656496.0,678649.0,669650.0,673832.0,677201.0,678356.0,743859.0
British Antarctic Territory,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
British Indian Ocean Territory,3.0,1.0,4.0,3.0,6.0,6.0,137.0,4.0,1.0,2.0,4.0
British Virgin Islands,270.0,148.0,123.0,153.0,203.0,380.0,108.0,93.0,72.0,83.0,191.0
Brunei Darussalam,12874.0,12319.0,12803.0,12524.0,12667.0,12500.0,13514.0,18991.0,18222.0,16732.0,16227.0
Bulgaria,14236.0,14554.0,14137.0,15729.0,16378.0,14758.0,16834.0,15489.0,15572.0,17144.0,17379.0
Burkina Faso,142.0,248.0,233.0,295.0,281.0,267.0,556.0,260.0,266.0,439.0,
Burundi,18.0,21.0,25.0,24.0,18.0,33.0,26.0,36.0,23.0,23.0,26.0
Cabo Verde,28.0,40.0,56.0,37.0,30.0,36.0,37.0,31.0,36.0,32.0,27.0
Cameroon,4247.0,4907.0,6296.0,5592.0,5023.0,5235.0,7058.0,7253.0,6446.0,6453.0,6290.0
Canada,213167.0,207783.0,209295.0,216206.0,224641.0,230569.0,239057.0,255196.0,252850.0,239028.0,265649.0
Cayman Islands,71.0,40.0,288.0,72.0,197.0,71.0,70.0,78.0,157.0,375.0,274.0
Central African Republic,44.0,35.0,41.0,103.0,115.0,65.0,49.0,58.0,51.0,52.0,61.0
Chad,4014.0,3686.0,5770.0,5475.0,2927.0,2877.0,2154.0,4053.0,3988.0,4791.0,5001.0
